feature,gini_importance
Aggregate_feature_14,0.0013525186213815465
Aggregate_feature_1,0.0013127782137505747
out_BTC_median,0.0013085215989424672
Local_feature_20,0.001279604337488202
in_BTC_mean,0.0012437534936919703
Local_feature_73,0.0012319002611620154
Aggregate_feature_4,0.001198995096631348
out_BTC_max,0.0010371914422251658
Aggregate_feature_64,0.0010369722550407712
out_BTC_total,0.001026630424333268
Local_feature_87,0.0010241486479059569
Local_feature_88,0.0009671787564738028
Local_feature_56,0.0009648128435115684
Local_feature_35,0.0009643922906776286
out_BTC_mean,0.0009634983907734861
Local_feature_62,0.0009626326972949277
Local_feature_72,0.0009603692579408696
Local_feature_71,0.0009406309389629826
Aggregate_feature_69,0.0009347878915989361
Local_feature_9,0.0008837563278649084
Aggregate_feature_52,0.0008766528662475227
Aggregate_feature_50,0.0007999458776555791
Local_feature_13,0.0007818945433798839
Aggregate_feature_31,0.0007667667985877777
Aggregate_feature_2,0.0007559446458055591
Local_feature_19,0.0007324820417083704
Aggregate_feature_41,0.000705240575542393
Aggregate_feature_38,0.0006849370121832792
Local_feature_37,0.0006281857682368512
Local_feature_21,0.000599382767249808
Aggregate_feature_72,0.0005882653203102297
Aggregate_feature_62,0.000555008105144428
Local_feature_57,0.0005527134631417363
Local_feature_86,0.000544627944990806
Aggregate_feature_42,0.0005389145973460021
Aggregate_feature_6,0.000522259950228327
Aggregate_feature_40,0.0005197300208774982
Local_feature_74,0.0005119049755373046
Aggregate_feature_57,0.0005113699224420831
Local_feature_44,0.00048176207973249285
Aggregate_feature_55,0.00048097464953837475
Aggregate_feature_22,0.0004755586075288283
Aggregate_feature_58,0.0004327312860696146
Local_feature_92,0.00042067440050405733
Local_feature_93,0.0004033942102911364
Aggregate_feature_28,0.00039623101157382554
Local_feature_27,0.00037645141609562777
Local_feature_69,0.0003743116167387197
Local_feature_68,0.00034399172004819715
Aggregate_feature_60,0.000336129937834934
Aggregate_feature_11,0.0003325309618760218
Aggregate_feature_71,0.00032979114924511064
Local_feature_12,0.000325318957302917
graph_in_degree,0.0003197007751140832
Local_feature_33,0.00031704334216725333
Aggregate_feature_56,0.00031681061153749924
Aggregate_feature_59,0.00031648200436801407
Aggregate_feature_54,0.00029311612898712963
Aggregate_feature_33,0.000292575218788127
Aggregate_feature_20,0.0002875460491614435
Aggregate_feature_27,0.00027767474675694095
Local_feature_26,0.00024188046975120805
Local_feature_50,0.00023821983300322563
Aggregate_feature_26,0.00023480513697815613
Aggregate_feature_5,0.00023261367766013664
Local_feature_51,0.00022027901243878628
Aggregate_feature_12,0.00022005077731663766
Local_feature_32,0.00021888227644930737
Aggregate_feature_48,0.00021011251962197943
Local_feature_63,0.00019454533599974063
graph_out_degree,0.00018961007508803268
Aggregate_feature_17,0.00018241288765307072
Aggregate_feature_23,0.00018148459974818448
graph_total_degree,0.00017449486461896616
Aggregate_feature_19,0.00016834324477089927
Aggregate_feature_36,0.00016081667371271326
in_txs_degree,0.00015002226391297628
Local_feature_45,0.0001453017011799614
Aggregate_feature_30,0.0001319025210456679
